article_id,pmid,title,abstract,authors,journal,pub_year,language,source_file
PMID41507738,41507738,[Research progress on Areca catechu].,"Areca catechu, a plant of the Arecaceae family, is an important medicinal resource in China, with its various medicinal parts exhibiting distinct therapeutic values. Among them, Arecae Semen(the dried ripe seeds of A. catechu) ranks first among the four major southern medicines. Arecae Pericarpium(the dried pericarp of A. catechu) and Arecae Flos(the dried male flower buds of A. catechu) are also used as traditional Chinese medicines(TCMs). Modern studies have shown that different medicinal parts of this plant are rich in alkaloids, represented by arecoline, and polyphenolic compounds. These components exhibit diverse pharmacological effects, including promoting gastrointestinal motility, antidepressant effects, antioxidant effects, lipid-lowering effects, anthelmintic effects, and antibacterial activities. This article systematically reviews the chemical constituents and pharmacological activities of Arecae Semen, Arecae Pericarpium, and Arecae Flos, and summarizes the toxic side effects and underlying mechanisms of A. catechu products, aiming to provide a scientific basis for the comprehensive development and rational clinical application of A. catechu as a medicinal resource.",Chen Jin-Zi; Pan Xing-Yu; Guo Tao; Kuang Feng-Jiao; Kang Zong-Hua; Luo Jian-Guang,Zhongguo Zhong Yao Za Zhi,2025,zh,chinese_中医药.csv
PMID41755600,41755600,[Research progress in microneedle-mediated vaccination].,"Vaccination is one of the most effective measures for disease prevention and mortality reduction. Microneedle delivery can overcome certain limitations of conventional immunization methods, enabling efficient vaccine administration and demonstrating broad application prospects in infectious disease and cancer immunotherapy. This article reviews and discusses the principles of microneedle-mediated vaccination, the preparation and application of various types of microneedle-mediated vaccines, the mechanisms of immune enhancement by microneedles, and strategies to improve their immunogenicity. It aims to provide a reference for future research and application of microneedles in vaccination. 接种疫苗是预防疾病、降低死亡率最有效的措施之一，微针递送能克服传统免疫方式本身存在的部分问题，实现疫苗的高效免疫，在传染病和癌症免疫治疗中应用前景广阔。本文对微针免疫原理、各类型微针疫苗制备和应用、微针免疫增强机制、提高微针免疫效果策略等方面的研究进行了综述和探讨，为微针在疫苗免疫方面的研究与应用提供了参考。.",Wang Zixin; Li Xiaoyang; Zhang Yansong; Shi Rui; Hu Chunli; Xin Wenwen; Kang Lin; Wang Jinglin; Wang Jing; Yang Hao; Gao Shan,Sheng Wu Gong Cheng Xue Bao,2025,zh,chinese_中医药.csv
PMID41483925,41483925,[Artificial intelligence empowering sports medicine].,"The rapid advancement of artificial intelligence (AI) technologies, particularly deep learning algorithms and hardware devices, has profoundly transformed diagnostic and therapeutic paradigms in sports medicine. This article reviews the applications and recent progress of AI across multiple domains in the field, including the use of deep learning and machine learning models for injury risk prediction and early screening; the application of computer vision techniques in imaging diagnosis; the integration of intelligent algorithms into surgical planning and intraoperative assistance; the dynamic monitoring of rehabilitation processes; and the deployment of large language models to support patient education and consultation. The deep integration of sports medicine and AI requires interdisciplinary collaboration across clinical medicine, sports science, materials science, and computer science. This article highlights the current applications, discusses existing challenges and potential risks, and provides an outlook on future development trends. 人工智能技术，尤其是深度学习算法和硬件设备的飞速发展，正在深刻变革运动医学的诊疗实践范式。本文系统梳理人工智能技术在运动医学多领域中的应用价值和研究进展：应用深度学习和机器学习模型进行运动损伤风险预测和早期筛查；利用计算机视觉技术协助影像诊断；运用智能算法优化手术规划和辅助；动态监测运动康复流程；大语言模型协助患者咨询教育。运动医学和人工智能的深度融合需要临床医学、运动科学、材料科学和计算机科学等多学科的交叉创新。本文总结当前人工智能技术在运动医学领域的应用现状和风险挑战，并就未来发展趋势做出展望。.",Hua Y H; Chen Y S,Zhonghua Yi Xue Za Zhi,2026,zh,chinese_中医药.csv
PMID41457597,41457597,[Applications and synthesis of D-amino acids].,"D-amino acids, chiral molecules with unique physiological activities, present widely distribution in microorganisms, plants, and animals. With the deepening of research, D-amino acids are playing increasingly important roles in food, pharmaceuticals, agrochemicals, cosmetics and other fields. However, the natural abundance of D-amino acids is low. Chemical synthesis methods suffer from low stereoselectivity, serious environmental pollution, and high production costs, which limit their industrial application. Enzymatic synthesis has emerged as a cutting-edge research focus for D-amino acid production due to its high stereoselectivity, mild reaction conditions, and environmental friendliness. Currently, enzymes commonly used for D-amino acid synthesis include D-amino acid dehydrogenase, L-amino acid oxidase, D-amino acid aminotransferase, D-aminoacylase, D-hydantoinase, and D-carbamoylase. These enzymes employ various mechanisms to convert substrates or resolve racemic mixtures, or establish multi-enzyme cascade reactions to synthesize diverse D-amino acids and their derivatives. This review summarizes the latest advances in the enzymatic synthesis of D-amino acids, explores the catalytic mechanisms and optimization strategies of various enzymes, and examines the performance of these enzymes in practical applications, providing theoretical support and technical guidance for the efficient and green synthesis of D-amino acids.",Jiang Meiru; Jia Xian; Yang Licheng,Sheng Wu Gong Cheng Xue Bao,2025,zh,chinese_中医药.csv
PMID41500695,41500695,[Evolution and progress of personalized sedation strategies].,"Sedation and analgesia strategies are integral components of treatment for critically ill patients. They help to reduce discomfort and anxiety, minimize adverse medical events, enable safe and effective interventions, and ultimately improve patient outcomes. In recent years, with advancing research, the concepts and strategies guiding clinical sedation and analgesia have progressively evolved. Significant shifts have occurred, moving from continuous deep sedation to a model prioritizing analgesia and light sedation, and further to recommendations favoring the use of propofol and dexmedetomidine over benzodiazepines. This series of transitions demonstrates progress in clinical practice. This article will review research on sedation protocols for different patient populations, focusing on the evolution of sedation strategies, comparisons of clinical effects among different sedative agents, the relationships between sedation, delirium, and sleep, and the early comfort using analgesia, minimal sedatives and maximal humane care (eCASH) concept. The aim is to provide a scientific basis for the individualized sedation strategies in clinical practice.",Hu Wenjing; Dou Qingli,Zhonghua Wei Zhong Bing Ji Jiu Yi Xue,2025,zh,chinese_中医药.csv
PMID41866217,41866217,[Sodium and cardiovascular disease].,钠摄入量和血压之间存在因果关系。在降压治疗的基础上，减钠可以降低高血压患者和血压正常者的血压。方法可靠的研究和准确的钠摄入量评估结果表明，较低的钠摄入量与心血管疾病、全因死亡率的风险降低相关。减盐（减钠）计划具有成本效益，应该在所有国家实施或加快实施。该文综述了有关钠与健康相关研究的最新进展，特别关注血压和心血管疾病，以及潜在的机制。.,Mei J J; Jiang Y N; Yin L L,Zhonghua Xin Xue Guan Bing Za Zhi,2026,zh,chinese_中医药.csv
PMID41814714,41814714,[Development status and issues of traditional Chinese medicine preparations in medical institutions].,"Traditional Chinese medicine(TCM) preparations in medical institutions(hereinafter referred to as &quot;hospital TCM preparations&quot;) are fixed-formula preparations developed by TCM medical institutions based on clinical needs. Hospital TCM preparations play a significant role in meeting special medication demands, inheriting TCM experience, and promoting new medicine development. With policy support, the development of hospital TCM preparations has surged in recent years, but there are issues such as product homogeneity, insufficient clinical evidence, low conversion rates, and unlabeled uses. This paper systematically analyzed the current development status and existing problems of hospital TCM preparations, combining policy background and practical cases. Then, recommendations were proposed, including refocusing on clinical needs, optimizing dispensing policies, improving conversion mechanisms, and establishing a dynamic exit mechanism, aiming to provide references for the healthy development of hospital TCM preparations.",Liu Yan; Zhang Jun; Li Si-Yuan; Lu Yang; Dong Zheng-Qi; Li Geng; Tian Ji-Xiang; Han Ling; Yan Zhi-Fan; Shen Nuo; Liu An,Zhongguo Zhong Yao Za Zhi,2025,zh,chinese_中医药.csv
PMID41601218,41601218,[Applications and challenges of forensic microbiomics].,生命科学领域正经历从单一基因组学向多组学整合的战略转型。随着人类基因组计划的完成，微生物组学已成为全球科研竞争的新高地。国际人类微生物组联盟（International Human Microbiome Consortium， IHMC）、美国国家微生物组计划（National Microbiomics Initiative， NMI）、欧盟人类肠道宏基因组计划（Metagenomics of the Human Intestinal Tract， MetaHIT）等重大科研项目的相继启动，标志着这一领域的战略重要性。中国科学界已清醒认识到，在参与但不主导人类基因组计划的经验基础上，必须把握这一轮国际大科学计划的发展机遇，力争在微生物组研究领域获得更大的国际话语权。.,Li C T,Fa Yi Xue Za Zhi,2025,zh,chinese_中医药.csv
PMID41605477,41605477,[Traditional Chinese oral medicine education in ancient Chinese official medical education system].,"As an essential part of traditional Chinese medicine, traditional Chinese oral medicine is instructive to the prevention and treatment of oral diseases. In the inheritance and development of traditional stomatology from ancient times to the present, oral medicine education is highly crucial. Although a small number of documents have summarized the history of Chinese medicine education, the relevant records of the history of Chinese oral medicine education are scattered in numerous monographs. There are few summaries in current medical history researches and in which many errors and fallacies are found. This review sorts out and summarizes the emergence of ancient traditional oral medicine in China, the division of oral medicine in official medical education and the professional setting. In analyzing the developing process of traditional Chinese oral medicine education, this review provides a reference for the study of Chinese stomatology history. 作为中医学的重要部分，中国传统口腔医学在口腔疾病防治过程中具有指导意义。在传统医学从古至今的传承与发展中，口腔医学教育在其中扮演着关键角色。虽然有少量文献曾对中国口腔医学教育历史作出总结，但尚无针对中国传统口腔医学教育史的相关研究。本文对中国古代传统口腔医学的出现、官办医学教育中口腔医学的分科和专业设置进行研究，明晰中国传统口腔医学教育的发展历程，以期为中国口腔医学史研究提供参考。.",Liu S X; Sheng Y W; Li X D; Pan W Y; Li X J,Zhonghua Kou Qiang Yi Xue Za Zhi,2026,zh,chinese_中医药.csv
PMID41508063,41508063,[Advances in natural products of Fritillaria plants].,"The traditional Chinese medicine(TCM) known as Beimu, including Fritillariae Cirrhosae Bulbus, Fritillariae Thunbergii Bulbus, Fritillariae Hupehensis Bulbus, Fritillariae Ussuriensis Bulbus, and Fritillariae Pallidiflorae Bulbus, possesses significant medicinal value with a long history of use, has a substantial market demand, and serves as a crucial subject of research. According to Chinese Pharmacopoeia(2020 edition), the dried bulbs of eleven Fritillaria species are the sources of Beimu. The characteristic and active ingredients steroidal alkaloids in Fritillaria species are among the natural products to be investigated earliest globally. These compounds play a pivotal role in the development of natural products and demonstrate a diverse range of pharmacological effects. This review delves into the natural products found in Fritillaria species and their pharmacological properties. Based on literature and the research achievements of the authors' research group, this paper comprehensively summarizes, for the first time, the structural types, physicochemical properties, and spectral characteristics of steroidal alkaloids in Fritillaria species. In-depth analyses reveal that Fritillaria species contain a rich diversity of steroidal alkaloids with varied structural types, and these active ingredients hold promising potential for research on antitussive, anti-pneumonia, and acute lung injury treatment. Additionally, developing effective quality control methods based on steroidal alkaloids is crucial for the development of TCM Beimu and the standardized management of its related cultivated species.",Wang Shu-Hui; Ma Xu-Ran; Dong Hui-Wen; Zhang Guo-Wu; Liang Hong; Zhang Qing-Ying; Tu Peng-Fei,Zhongguo Zhong Yao Za Zhi,2025,zh,chinese_中医药.csv
