article_id,pmid,title,abstract,authors,journal,pub_year,language,source_file
PMID21288444,21288444,A review on immunostimulatory plants.,"The use of medicinal plants to cure human illness has been practiced from time immemorial. Nowadays, the vast majority of people still rely on their traditional materia medica for their daily health care needs. The use of plant species for treatment of various human ailments has been mentioned in Ayurveda and other Indian literature. Some of these drugs are believed to enhance the natural resistance of body to infection. So there are many plants having immunostimulatory activity. This paper reviews plants which have shown reported immunostimulatory activity.",Kumar Sunil; Gupta Priyanka; Sharma Shalini; Kumar Dinesh,Zhong Xi Yi Jie He Xue Bao,2011,en,chinese_medicine_zh.csv
PMID23073189,23073189,Facts about standardization of herbal medicine: a review.,"Natural products, either as pure compounds or as standardized plant extracts, provide extensive opportunities for new drug leads because of the unmatched availability of chemical diversity. In contrast to modern medicines, herbal medicines are frequently used to treat chronic diseases. Standardization guarantees the content of one or more active constituents and marker compounds. The plant environment and genetic factors could significantly affect the biochemical components of the plant extract, in which plants are still the most abundant and cost-effective resource for drug innovation. Production of botanical drugs requires genetically uniform monocultures of the source plant in fully standardized conditions, to assure the biochemical consistency and to optimize the safety and efficacy of every crop. The present review article illustrates about the methods for standardization of herbal medicine and how the goal of preparing herbal medicines of consistent quality and effects can be achieved.",Garg Vandana; Dhar Vir Ji; Sharma Anupam; Dutt Rohit,Zhong Xi Yi Jie He Xue Bao,2012,en,chinese_medicine_zh.csv
PMID20939980,20939980,[Placebo control and clinical trial of Chinese medicine].,"World Health Organization aims to develop safe, effective and practical traditional medicine. Traditional Chinese medicine (TCM) and other complementary and alternative medicine are being recognized in the whole world nowadays. However, the definite effect of Chinese medicine is still in need of scientific research proof. Placebo control is of equal importance to active control and blank control in clinical trial of TCM. This article briefly reviewed the importance of placebo control and commented on its present situation in clinical trial of TCM. This article also brought up the preliminary proposals of placebo application in TCM clinical trial. We should emphasize scientific placebo preparation and good design of placebo-controlled trial, which are directed by International Conference on Harmonization of Technical Requirements for Registration of Pharmaceuticals for Human Use. A good clinical trial project will avoid unnecessary wastes and provide safe and effective treatment for people.",Wu Jing,Zhong Xi Yi Jie He Xue Bao,2010,zh,chinese_medicine_zh.csv
PMID19671407,19671407,[Chinese medicine for acute upper respiratory tract infection: a systematic review of randomized controlled trials].,"[OBJECTIVE] To evaluate the efficacy and safety of new drugs of traditional Chinese medicine (TCM) for acute upper respiratory tract infection (common cold). [METHODS] Reports regarding randomized controlled trials of Chinese medicine for common cold were reviewed. Related reports were selected and the methodological quality of the trials was assessed by the Jadad scale. Meanwhile, the stratified analysis was made according to different TCM syndrome types of common cold. [RESULTS] Thirteen randomized controlled trials consistent with the inclusion criteria were selected and reviewed. As TCM treatment group was compared with control group, the meta analysis indicated that the relative risk (RR) for obviously effective rate was 1.10, and the 95% confidence interval (CI) was [1.05, 1.16]; the weighted mean difference (WMD) of the onset time of lowering body temperature was -1.70, and the 95% CI was [-2.76, -0.65]. There were significant differences in the above evaluation indexes between the two groups (P=0.000 2, P=0.002). The WMD of disappearing time of fever was -1.32, and the 95% CI was [-3.14, 0.49], while there was no significant difference between the two groups (P=0.15). As the common cold patients with wind-heat syndrome in the TCM treatment group were compared with those in the control group, the meta analysis indicated that the RR for obviously effective rate was 1.11, the 95% CI was [1.05, 1.19], and there was significant difference between the two groups (P=0.000 7). As the common cold patients with wind-cold syndrome in the TCM treatment group were compared with those in the control group, the meta analysis indicated that the RR for obviously effective rate was 1.07, the 95% CI was [0.99, 1.16], and there was no significant difference between the two groups (P=0.10). Serious adverse reactions had not been reported in the trials. [CONCLUSION] TCM new drugs developed in recent years for preventing and treating common cold have better therapeutic effects than the old ones. They can accelerate the onset time of lowering body temperature and improve the symptoms of common cold without any significant adverse reactions. Because of lacking of placebo-controlled and blank-controlled studies, further high-quality trials are still needed.",Zhang Wen-Bing; Jiang Hong-Li; Zhou Wei; Zhong Yun-Qing; Yang Hong-Mei; Fu Juan-Juan; Mao Bing,Zhong Xi Yi Jie He Xue Bao,2009,zh,chinese_medicine_zh.csv
PMID22500707,22500707,High-tech acupuncture made in Austria--cerebral circulation.,"It is little known that Austria has tradition in research in Chinese integrative medicine, especially traditional Chinese medicine. For more than 15 years, the research concerning high-tech acupuncture has been playing an important role at the Medical University of Graz, Austria. Within this review article, a short summary concerning high-tech acupuncture and cerebral circulation, and transcranial Doppler (TCD) sonography is presented. TCD has been extensively used in various basic and clinical situations, and in the last decade has established its role also as a tool of investigating the effects of various acupuncture methods. Based on the Doppler principle, it uses ultrasound waves to insonate the blood vessels supplying the brain and to obtain stimulation-induced changes of hemodynamic information. The purpose of this review is to present the basic concepts of TCD technique in relation to acupuncture research, and the specific effects on cerebral hemodynamics caused by acupuncture stimulation.",Litscher Gerhard,Zhong Xi Yi Jie He Xue Bao,2012,en,chinese_medicine_zh.csv
PMID23158936,23158936,[Use of zebrafish models for the research of traditional Chinese medicine].,"Traditional Chinese medicine (TCM) exhibits a broad range of effects on biological activity that is probably due to interactions of complex chemical constituents with multiple targets in the body. Understanding the active chemical constituents in TCM is very important in providing rationales for the clinical usage of TCM. The zebrafish (Danio rerio) has recently become a popular model in the field of drug screening, specifically emerging as an important vertebrate model for in vivo high-content drug screening of multiple efficacy parameters and whole-organism toxicity. The authors also discussed the advantages of the zebrafish model for evaluating drug metabolism. Zebrafish usage in TCM screening should be a viable approach that helps identify active chemical markers, biological pathways and mechanistic actions of TCM.",Wang You-hua; Li Shang; Yang Bin-rui; Zhang Lun-qing; Zhou Xin; Hoi Pui-man; Lee Simon Ming-yuen,Zhong Xi Yi Jie He Xue Bao,2012,zh,chinese_medicine_zh.csv
PMID20939981,20939981,[Methodology study of classification algorithm in traditional Chinese medicine syndrome study].,"Study of traditional Chinese medicine (TCM) syndromes is a key to the research of TCM modernization, and the core is the classification and diagnostic criteria of syndromes. The purpose of this article is to review the usage of classification algorithms of data mining in TCM syndrome researches, and comprehensively analyze the main features of algorithms and their applications. The appropriate classification algorithm should be chosen according to different research purposes. Rough sets and cluster analysis are suitable for exploratory research without requiring a prior knowledge. Fuzzy sets theory, neural networks and decision tree are suitable for syndrome diagnostic criteria research when the classification goal is clear, because they require a prior knowledge. Among them, fuzzy sets theory could be used in combination with other classification algorithms. Thus, some new methods such as fuzzy clustering, fuzzy rough sets or fuzzy decision tree might be more suitable for TCM algorithm classification research. It is suggested that some novel classification algorithms need to be developed to fit the condition of TCM syndrome, based on the interdisciplinary theories and technologies.",Zhou Min; Chu Na; Li Jie,Zhong Xi Yi Jie He Xue Bao,2010,zh,chinese_medicine_zh.csv
PMID21419090,21419090,Necessary conditions for the globalization of traditional Chinese medicine.,"With the current trend of globalization, unprecedented opportunities and enormous changes have emerged for the global development of traditional Chinese medicine (TCM). However, many old and new challenges and problems still remain, including partial or limited comprehension of acupuncture, oriental medicine and TCM, the existence of non-standardized institutes of TCM and acupuncture training schools, unqualified TCM practitioners, and problems concerning Chinese herbal medicine and inexperience in conducting TCM business. These problems will doubtlessly impede the further development of TCM worldwide in the foreseeable future. It is also clear that the globalization of TCM will require a large scale systematic project and constitute an arduous historical task. This paper aims to consolidate 6 strategic development modes to reinforce and facilitate the process of TCM globalization through a detailed analysis of both the present status and existing problems concerning the development of TCM in the United States.",Yu Bei-Bei; Gong Xiu-Lin,Zhong Xi Yi Jie He Xue Bao,2011,en,chinese_medicine_zh.csv
PMID22409915,22409915,[Application of Delphi method in traditional Chinese medicine clinical research].,"In recent years, Delphi method has been widely applied in traditional Chinese medicine (TCM) clinical research. This article analyzed the present application situation of Delphi method in TCM clinical research, and discussed some problems presented in the choice of evaluation method, classification of observation indexes and selection of survey items. On the basis of present application of Delphi method, the author analyzed the method on questionnaire making, selection of experts, evaluation of observation indexes and selection of survey items. Furthermore, the author summarized the steps of application of Delphi method in TCM clinical research.",Bi Ying-fei; Mao Jing-yuan,Zhong Xi Yi Jie He Xue Bao,2012,zh,chinese_medicine_zh.csv
PMID20388469,20388469,[Application status and safety countermeasures of traditional Chinese medicine injections].,"The research and development of traditional Chinese medicine (TCM) injections is an important innovation of modernization of TCM, which has great clinical value and irreplaceability in medical enterprise of China. But reports of adverse events of TCM injections gradually increased in recent years and the security problems received much concern with the enlargement of its application range. The reasons include unreliable herb sources and unreasonable utilization, in which the former includes historical reasons and non-unified standard and the latter includes combined use of Chinese and Western medicine, misused dosage and formula not corresponding to syndromes. We should face the problems, and preventive measures should be worked out by pharmaceutical factory, doctors and government. The first one is strictly guarding the pharmaceutical preparation procedures with advanced pharmaceutical technology; the second one is advocating the idea of formula corresponding to syndromes to minimize the occurrence of adverse effects; and the last one is strengthening the postmarketing reevaluation and market supervising management.",Xiong Xing-jiang; Wang Jie; He Qing-yong,Zhong Xi Yi Jie He Xue Bao,2010,zh,chinese_medicine_zh.csv
PMID22088581,22088581,An updated review on medicinal herb genus Spilanthes.,"Herbal medicine has been used in medical practice for thousands of years and recognized especially as a valuable and readily available resource for healthcare in Asian nations. India is a vast repository of medicinal plants that can be developed as a safe and economical system of medicine for the treatment of various ailments. Unfortunately, most of the traditionally used medicinal plants are yet unexplored or have not been fully examined by modern medical science. Therefore, exploring traditionally reported medicinal plants to leverage their potential for the betterment of human health is of great importance. The present review examines a promising medicinal plant genus Spilanthes. In recent years, many new compounds and activities of this plant genus have been established. The present review therefore, aims to compile up-to-date and comprehensive information of genus Spilanthes with special emphasis on phytochemical and ethnomedical uses, scientifically documented pharmacological activities and tissue culture methods for conservation.",Tiwari Kishan Lal; Jadhav Shailesh Kumar; Joshi Veenu,Zhong Xi Yi Jie He Xue Bao,2011,en,chinese_medicine_zh.csv
PMID23158937,23158937,[A complexity analysis of Chinese herbal property theory: the multiple formations of herbal property].,"Chinese herbal property theory (CHPT) is the fundamental characteristic of Chinese materia medica different from modern medicines. It reflects the herbal properties associated with efficacy and formed the early framework of four properties and five flavors in Shennong's Classic of Materia Medica. After the supplement and improvement of CHPT in the past thousands of years, it has developed a theory system including four properties, five flavors, meridian entry, direction of medicinal actions (ascending, descending, floating and sinking) and toxicity. However, because of the influence of philosophy about yin-yang theory and five-phase theory and the difference of cognitive approach and historical background at different times, CHPT became complex. One of the complexity features was the multiple methods for determining herbal property, which might include the inference from herbal efficacy, the thought of Chinese Taoist School and witchcraft, the classification thinking according to manifestations, etc. Another complexity feature was the multiselection associations between herbal property and efficacy, which indicated that the same property could be inferred from different kinds of efficacy. This paper analyzed these complexity features and provided the importance of cognitive approaches and efficacy attributes corresponding to certain herbal property in the study of CHPT.",Jin Rui; Zhang Bing,Zhong Xi Yi Jie He Xue Bao,2012,zh,chinese_medicine_zh.csv
PMID20226139,20226139,[Pathogenesis and treatment of non-alcoholic fatty liver disease].,"In order to explore the pathogenesis of non-alcoholic fatty liver disease (NAFLD), and to find the best evidence for clinical practice, recent literature about the pathogenesis and treatment of NAFLD was analyzed, and it was found that the generation of reactive oxygen species (ROS) is the most important factor in development of NAFLD. Based on insulin resistance (IR), generation of ROS is a central link in the course of ""two hits"". Other factors, such as leptin resistance, caspase-3, Fas and its ligand, peripheral natural killer T cells, cyclooxygenase-2, metabolic nuclear receptors, hepatic deposition of iron, ferritin, haptoglobin, retinol binding protein 4, imbalance of intestinal flora, mitochondrial dysfunction and endoplasmic reticulum stress, also contribute to the progress of NAFLD. In the treatment of NAFLD, beside the conventionally used methods such as IR improvement, antioxidation and lipid metabolism improvement, other medicines such as nuclear metabolism ligands or activators, iron-chelating agents and syndrome differentiation treatment in traditional Chinese medicine also have good efficacy.",Xie Ping; Zhou Xin-xi; Zhang Qin,Zhong Xi Yi Jie He Xue Bao,2010,zh,chinese_medicine_zh.csv
PMID19671406,19671406,[Determination methods for inspection of the complexion in traditional Chinese medicine: a review].,"Inspection of the complexion is one of the characteristics of traditional Chinese medical diagnosis. Traditional Chinese medicine puts high emphasis on inspection of the complexion and there exists detailed discussion on inspection of facial expression in Neijing. The so-called inspection of facial expression is a method to diagnose diseases according to the theory of five Zang-organs matching five elements and five colors by distinguishing various changes of facial color, such as green, red, yellow, white and black based on yin and yang doctrine and five elements theory. Nowadays, more and more experts have introduced color optical theory and modern devices into the modern research field of traditional Chinese medical diagnosis with the development of color optical theory and the renewal of determining devices, such as digital camera, color differentiation meter and spectrophotometer, to make the research more scientific and objective and avoid the deviations caused by human factors. The modern study of traditional Chinese medicine diagnosis has made fare progress, consequently enriching the contents of its facial color observation and giving a more scientific explanation of it. However, the devices being used now are still disunited; the data may be unilateral and cannot contain the whole information. So the most important task is to invent and use scientific devices conforming better with the theory of five colors observation in traditional Chinese medicine.",Lu Lu-Ming; Chen Xiao; Xu Jia-Tuo,Zhong Xi Yi Jie He Xue Bao,2009,zh,chinese_medicine_zh.csv
PMID22152765,22152765,[Correlation between traditional Chinese medicine syndromes and omics: a literature review].,"As the post-genome era is approaching, omics has become a hot topic in the research field of life sciences and is also widely used in traditional Chinese medicine (TCM) research. For discussing the correlation between syndromes and omics, the authors explored the application of genomics, proteomics and metabonomics in the study of syndrome classification from the macroscopic view, after a systematic and normative study of the literature. The authors drew the conclusion that research into the correlation between syndromes and omics has great clinical significance in terms of the scientific application and quantification of TCM treatment based on syndrome differentiation.",Zhang Shuo; Shang Hong-cai,Zhong Xi Yi Jie He Xue Bao,2011,zh,chinese_medicine_zh.csv
PMID23073188,23073188,[Study of the syndromes of traditional Chinese medicine in terms of metabonomics technology: the current situation and considerations].,"Syndromes constitute a core aspect in the study of Chinese medicine, and research on the concept of syndromes is important to the study of the process of modernization of traditional Chinese medicine. However, it is somewhat challenging to define a syndrome due to the complexity inherent in the subject, even with the assistance of the reductionism approach of modern medicine. Holistic and dynamic in nature and attaching much importance to functional changes, the newly emerging metabonomics is in many ways inline with the concepts of syndrome differentiation of pathological states in traditional Chinese medicine. Therefore, metabonomics has comparatively strong advantages in the very respect of revealing the natural laws of syndrome differentiation. By reviewing and analyzing the current research on the concept of syndromes and the application of metabonomic technology to exploring the essential core of syndrome differentiation, the authors illustrated the potential commonalities. This would also show the issues requiring attention between the study of syndromes and the metabonomic technology. In the meantime this study reflected the core problems in detail and put forward suggestions with regard to reaching solutions.",Zhang Jing; Liu Long; Yan Xin; Yue Xiao-qiang,Zhong Xi Yi Jie He Xue Bao,2012,zh,chinese_medicine_zh.csv
