article_id,pmid,title,abstract,authors,journal,pub_year,language,source_file
PMID28619197,28619197,Traditional Chinese Medicine for Cardiovascular Disease: Evidence and Potential Mechanisms.,"Traditional Chinese medicine (TCM) has more than 2,000 years of history and has gained widespread clinical applications. However, the explicit role of TCM in preventing and treating cardiovascular disease remains unclear due to a lack of sound scientific evidence. Currently available randomized controlled trials on TCM are flawed, with small sample sizes and diverse outcomes, making it difficult to draw definite conclusions about the actual benefits and harms of TCM. Here, we systematically assessed the efficacy and safety of TCM for cardiovascular disease, as well as the pharmacological effects of active TCM ingredients on the cardiovascular system and potential mechanisms. Results indicate that TCM might be used as a complementary and alternative approach to the primary and secondary prevention of cardiovascular disease. However, further rigorously designed randomized controlled trials are warranted to assess the effect of TCM on long-term hard endpoints in patients with cardiovascular disease.",Hao Panpan; Jiang Fan; Cheng Jing; Ma Lianyue; Zhang Yun; Zhao Yuxia,J Am Coll Cardiol,2017,en,hypertension_tcm.csv
PMID39305743,39305743,Network pharmacology provides new insights into the mechanism of traditional Chinese medicine and natural products used to treat pulmonary hypertension.,"[BACKGROUND] Pulmonary hypertension (PH) is a rare cardiovascular disease with high morbidity and mortality rates. It is characterized by increased pulmonary arterial pressure. Current research into relevant therapeutic drugs and targets for PH, however, is insufficient still. Traditional Chinese medicine (TCM) and natural products have a long history as therapeutics for PH. Network pharmacology is an approach that integrates drug-target interactions and signaling pathways based on biomarkers information obtained from drug and disease databases. The concept of network pharmacology shows many similarities with the TCM philosophy. Network pharmacology help elucidate the mechanisms of TCM in PH. This review presents representative applications of network pharmacology in the study of the mechanisms of TCM and natural products for the treatment of PH. [METHODS] In this review, we used (""pulmonary hypertension"" OR ""pulmonary arterial hypertension"" OR ""chronic thromboembolic pulmonary hypertension"") AND (""network pharmacology"" OR ""systematic pharmacology"") as keywords to search for reports from PubMed, Web of Science, and Google Scholar databases from ten years ago. The studies were screened and those chosen are summarized here. The TCM and natural products inPH and their corresponding targets and signaling pathways are described. Additionally, we discuss the application of network pharmacology in the study of TCM in PH to provide insights for future application strategies. [RESULTS] Network pharmacology have shown that AKT-related pathways, HIF-1 signaling pathway, MAPK signaling pathway, TGF-β-Smad pathway, cell cycle-related pathways and inflammation-related pathways are the main signaling pathways enriched in the PH targets of TCM. Reservatrol, curcumol, genistin, formononetin, wogonin, luteolin, baicalein, berberine, triptolide and tanshinone llA are active ingredients specific for PH treatment. A number of databases and tools specific for the treatment of PH are used in network pharmacology and natural product research. [CONCLUSION] Through the reasonable combination of molecular docking, omics technology and bioinformatics technology, the mechanism of multi-targets can be explained more comprehensively. Analyzing the complex mechanism of TCM from the clinical perspective may be a potential development trend of network pharmacology. Combination of predicted targets and traditional pharmacology improves efficiency of drug development.",Wang Xinyue; Wang Yichen; Yuan Tianyi; Wang Hongjuan; Zeng Zuomei; Tian Leiyu; Cui Lidan; Guo Jian; Chen Yucai,Phytomedicine,2024,en,hypertension_tcm.csv
PMID25498346,25498346,"Meta-analysis of the effect and safety of berberine in the treatment of type 2 diabetes mellitus, hyperlipemia and hypertension.","[ETHNOPHARMACOLOGICAL RELEVANCE] Berberine, extracted from Coptis Root and Phellodendron Chinese, has been frequently used for the adjuvant treatment of type 2 diabetes mellitus, hyperlipidemia, and hypertension in China. Safety and efficacy studies in terms of evidence-based medical practice have become more prevalent in application to Chinese Herbal Medicine. It is necessary to assess the efficacy and safety of berberine in the treatment of type 2 diabetes mellitus, hyperlipidemia and hypertension by conducting a systematic review and meta-analysis of available clinical data. [MATERIALS AND METHODS] We searched the English databases PubMed, ScienceDirect, Cochrane library, EMbase, etc., and Chinese databases including China biomedical literature database (CBM), Chinese Technology Journal Full-text Database, Chinese journal full text database (CNKI), and Wanfang digital periodical full text database. Relevant studies were selected based on the inclusion and exclusion criteria. Meta-analysis was performed with RevMan5.0 software after data extraction and the quality of studies assessment. [RESULTS] Twenty-seven randomized controlled clinical trials were included with 2569 patients. There are seven subgroups in our meta-analysis: berberine versus placebo or berberine with intensive lifestyle intervention versus intensive lifestyle intervention alone; berberine combined with oral hypoglycemic versus hypoglycemic alone; berberine versus oral hypoglycemic; berberine combined with oral lipid lowering drugs versus lipid lowering drugs alone; berberine versus oral lipid lowering drugs; berberine combined with oral hypotensor versus hypotensive medications; berberine versus oral hypotensive medications. In the treatment of type 2 diabetes mellitus, we found that berberine with lifestyle intervention tended to lower the level of FPG, PPG and HbA1c than lifestyle intervention alone or placebo; the same as berberine combined with oral hypoglycaemics to the same hypoglycaemics; but there was no statistical significance between berberine and oral hypoglycaemics. As for the treatment of hyperlipidemia, berberine with lifestyle intervention was better than lifestyle intervention, berberine with oral lipid lowering drugs was better than lipid lowering drugs alone in reducing the level of TC and LDL-C, and raising the level of HDL-C. In the comparative study between berberine and oral lipid lowering drugs, there was no statistical significance in reducing the level of TC and LDL-C, but berberine shows better effect in lowering the level of TG and raising the level of HDL-C. In the treatment of hypertension, berberine with lifestyle intervention tended to lower the level of blood pressure more than the lifestyle intervention alone or placebo did; The same occurred when berberine combined with oral hypotensor was compared to the same hypotensor. Notably, no serious adverse reaction was reported in the 27 experiments. [CONCLUSION] This study indicates that berberine has comparable therapeutic effect on type 2 DM, hyperlipidemia and hypertension with no serious side effect. Considering the relatively low cost compared with other first-line medicine and treatment, berberine might be a good alternative for low socioeconomic status patients to treat type 2 DM, hyperlipidemia, hypertension over long time period. Due to overall limited quality of the included studies, the therapeutic benefit of berberine can be substantiated to a limited degree. Better methodological quality, large controlled trials using standardized preparation are expected to further quantify the therapeutic effect of berberine.",Lan Jiarong; Zhao Yanyun; Dong Feixia; Yan Ziyou; Zheng Wenjie; Fan Jinping; Sun Guoli,J Ethnopharmacol,2015,en,hypertension_tcm.csv
PMID35105174,35105174,Traditional Chinese Medicine in Treating Hypertension.,,Li Jing,Circ Cardiovasc Qual Outcomes,2022,en,hypertension_tcm.csv
PMID38199208,38199208,Analyzing the molecular mechanism of xuefuzhuyu decoction in the treatment of pulmonary hypertension with network pharmacology and bioinformatics and verifying molecular docking.,"[BACKGROUND] XueFuZhuYu (XFZY), a typical Chinese herbal formula, has remarkable clinical effects for treating Pulmonary Hypertension (PH) with unclear mechanisms. Our research involved the utilization of network pharmacology to explore the traditional Chinese herbal monomers and their related targets within XFZY for PH treatment. Furthermore, molecular docking verification was performed. [METHODS] The XFZY's primary active compounds, along with their corresponding targets, were both obtained from the TCMSP, ChEMBL, and UniProt databases. The target proteins relevant to PH were sifted through OMIM, GeneCards and TTD databases. The common ""XFZY-PH"" targets were evaluated with Disease Ontology (DO), Gene Ontology (GO), and Kyoto Encyclopedia of Genes and Genomes (KEGG) analyses with the assistance of R software. The Protein-Protein Interaction (PPI) network and compound-target-pathway network were constructed and a systematic analysis of network parameters was performed by the powerful software Cytoscape. Molecular docking was employed for assessing and verifying the interactions between the core targets and the top Chinese herbal monomer. [RESULTS] The screening included 297 targets of active compounds in XFZY and 8400 PH-related targets. DO analysis of the above common 268 targets indicated that the treatment of the diseases by XFZY is mediated by genes related to Chronic Obstructive Pulmonary Disease (COPD), Obstructive Lung Disease (OLD), ischemia, and myocardial infarction. The findings from molecular docking indicated that the binding energies of 57 ligand-receptor pairs in PH and 20 ligand-receptor pairs in COPD-PH were lower than -7kJ•mol-1. [CONCLUSIONS] This study indicates that XFZY is a promising option within traditional Chinese medicine compound preparation for combating PH, particularly in cases associated with COPD. Our demonstration of the specific molecular mechanism of XFZY anti-PH and its effective active ingredients provides a theoretical basis for better clinical application of the compound.",Yu Xiaoming; Qin Wenxiang; Cai Haijian; Ren Chufan; Huang Shengjing; Lin Xiao; Tang Lin; Shan Zhuohan; Al-Ameer Wail Hussein Ahmed; Wang Liangxing; Yan Hanhan; Chen Mayun,Comput Biol Med,2024,en,hypertension_tcm.csv
PMID30480757,30480757,Acupuncture for hypertension.,"[BACKGROUND] Elevated blood pressure (hypertension) affects about one billion people worldwide. It is important as it is a major risk factor for stroke and myocardial infarction. However, it remains a challenge for the medical profession as many people with hypertension have blood pressure (BP) that is not well controlled. According to Traditional Chinese Medicine theory, acupuncture has the potential to lower BP. [OBJECTIVES] To assess the effectiveness and safety of acupuncture for lowering blood pressure in adults with primary hypertension. [SEARCH METHODS] We searched the Hypertension Group Specialised Register (February 2017); the Cochrane Central Register of Controlled Trials (CENTRAL) 2017, Issue 2; MEDLINE (February 2017); Embase (February 2017), China National Knowledge Infrastructure (CNKI) (January 2015), VIP Database (January 2015), the World Health Organisation Clinical Trials Registry Platform (February 2017)and ClinicalTrials.gov (February 2017). There were no language restrictions. [SELECTION CRITERIA] We included all randomized controlled trials (RCTs) that compared the clinical effects of an acupuncture intervention (acupuncture used alone or add-on) with no treatment, a sham acupuncture or an antihypertensive drug in adults with primary hypertension. [DATA COLLECTION AND ANALYSIS] Two review authors independently selected studies according to inclusion and exclusion criteria. They extracted data and assessed the risk of bias of each trial, and telephoned or emailed the authors of the studies to ask for missing information. A third review author resolved disagreements. Outcomes included change in systolic blood pressure (SBP), change in diastolic blood pressure (DBP), withdrawal due to adverse effects, and any adverse events. We calculated pooled mean differences (MD) with 95% confidence intervals (CI) for continuous outcomes using a fixed-effect or random-effects model where appropriate. [MAIN RESULTS] Twenty-two RCTs (1744 people) met our inclusion criteria. The RCTs were of variable methodological quality (most at high risk of bias because of lack of blinding). There was no evidence for a sustained BP lowering effect of acupuncture; only one trial investigated a sustained effect and found no BP lowering effect at three and six months after acupuncture. Four sham acupuncture controlled trials provided very low quality evidence that acupuncture had a short-term (one to 24 hours) effect on SBP (change) -3.4 mmHg (-6.0 to -0.9) and DBP -1.9 mmHg (95% CI -3.6 to -0.3). Pooled analysis of eight trials comparing acupuncture with angiotensin-converting enzyme inhibitors and seven trials comparing acupuncture to calcium antagonists suggested that acupuncture lowered short-term BP better than the antihypertensive drugs. However, because of the very high risk of bias in these trials, we think that this is most likely a reflection of bias and not a true effect. As a result, we did not report these results in the 'Summary of findings' table. Safety of acupuncture could not be assessed as only eight trials reported adverse events. [AUTHORS' CONCLUSIONS] At present, there is no evidence for the sustained BP lowering effect of acupuncture that is required for the management of chronically elevated BP. The short-term effects of acupuncture are uncertain due to the very low quality of evidence. The larger effect shown in non-sham acupuncture controlled trials most likely reflects bias and is not a true effect. Future RCTs must use sham acupuncture controls and assess whether there is a BP lowering effect of acupuncture that lasts at least seven days.",Yang Jie; Chen Jiao; Yang Mingxiao; Yu Siyi; Ying Li; Liu Guan J; Ren Yu-Lan; Wright James M; Liang Fan-Rong,Cochrane Database Syst Rev,2018,en,hypertension_tcm.csv
PMID35105177,35105177,"Efficacy and Safety of Chinese Herbal Medicine Compared With Losartan for Mild Essential Hypertension: A Randomized, Multicenter, Double-Blind, Noninferiority Trial.","[BACKGROUND] Hypertension is one of the most challenging public health problems worldwide. Previous studies suggested that the Songling Xuemaikang capsule (SXC)-a Chinese herbal formula-was effective for essential hypertension. However, the efficacy of SXC monotherapy for hypertension remains unclear. We aimed to compare the blood pressure (BP)-lowering efficacy and safety of SXC versus losartan in patients with essential hypertension. [METHODS] In this multicenter, randomized, double-blind, noninferiority trial in China, patients 18 to 65 years of age with mild essential hypertension were randomly allocated to receive either SXC or losartan for 8 weeks. The primary outcome was the change in sitting diastolic BP from baseline to 8 weeks, with a predefined noninferiority margin of -2.5 mm Hg. [RESULTS] Of the 755 patients who entered a 2-week run-in period, 628 patients (327 women and 301 men; mean [SD] age, 52.6 [9.2] years) were randomly assigned to the SXC (n=314) or losartan (n=314) group. The primary analysis based on the intention-to-treat principle showed that the change in diastolic BP from baseline to 8 weeks was similar between the SXC and losartan groups (-7.9 [8.0] versus -8.1 [7.9]). The lower boundary of 95% CI (mean difference, -0.24 [95% CI, -1.51 to 1.03]) was above the margin of -2.5 mm Hg, showing noninferiority. Results were consistent with per-protocol analysis. SXC produced greater improvements in total hypertension symptom score (-5.7 [4.2] versus -5.0 [4.0];=0.020) and total cholesterol (-0.1 [1.0] versus 0.1 [1.2];=0.025). There were no differences between groups in the other BP and patient-reported outcomes. Incidence and severity of adverse events were similar between groups. [CONCLUSIONS] SXC was well tolerated and demonstrated noninferior to losartan in BP lowering in patients with mild hypertension. SXC might be an alternative for mild hypertension, particularly for patients with a preference for natural medicine. [REGISTRATION] URL: www.chictr.org.cn; Unique identifier: ChiCTR-IPR-16008108.",Lai Xinxing; Dong Zhenyu; Wu Shengxian; Zhou Xiaohua; Zhang Genming; Xiong Shangquan; Wu Wei; Cao Rui; Wang Xiaolong; Hua Qi; Du Jinhang; Fan Jinying; Mao Jingyuan; Jiang Weimin; Yuan Huishu; Chen Yushan; Xu Yong; Li Zhanquan; Zhang Jun; Dong Guiying; Zhen Hui; Ding Ru; Wu Zonggui; Gao Ying,Circ Cardiovasc Qual Outcomes,2022,en,hypertension_tcm.csv
PMID40980416,40980416,"Chinese Herbal Medicine in Hypoxic Pulmonary Hypertension Treatment: Mechanisms, Progress, and Future Directions.","Hypoxic pulmonary hypertension (HPH) is a severe subtype of pulmonary hypertension(PH) characterized by chronic lung disease or prolonged hypoxia, leading to pulmonary vascular remodeling and right heart failure. Traditional Chinese Medicine (TCM) has garnered significant attention for its potential therapeutic effects on HPH due to its minimal side effects, multiple target actions, affordability, and cultural acceptance. Recent studies have highlighted the potential of TCM in inhibiting pulmonary artery smooth muscle cell proliferation, modulating inflammation, and oxidative stress. This review aims to explore the mechanisms of action of TCM in treating HPH, focusing on its ability to modulate key signaling pathways involved in pulmonary vascular remodeling, such as PI3K/Akt, Nrf2, NF-κB, and RhoA/ROCK. The goal is to provide a comprehensive overview of the current progress and future directions in the application of TCM for HPH treatment. TCM demonstrates significant therapeutic potential in HPH by modulating signaling pathways involved in inflammation, oxidative stress, and pulmonary vascular remodeling. Key compounds such as taxifolin glycoside, resveratrol, and salidroside have shown promising effects in inhibiting abnormal proliferation of pulmonary artery smooth muscle cells (PASMCs) and reducing oxidative stress. These mechanisms contribute to the overall efficacy of TCM in preventing and treating HPH. By modulating key signaling pathways and exerting anti-inflammatory and antioxidant effects, TCM offers a promising therapeutic approach for HPH. Further research is needed to validate the clinical efficacy and safety of TCM formulations, and to explore the underlying mechanisms through modern scientific methods. The integration of TCM with modern medicine could provide new strategies for the treatment of HPH.",Wang Xunkai; Deng Tang; Zhu Houfan; Peng Jin; Liang Jinxi; Zhong Shijie; Yao Chen; Jin Guiyun,Drug Des Devel Ther,2025,en,hypertension_tcm.csv
PMID27852126,27852126,"Traditional Chinese Medicine, Food Therapy, and Hypertension Control: A Narrative Review of Chinese Literature.","Despite the lack of English literature about Traditional Chinese Medicine (TCM) food therapy, there is abundant Chinese literature about the application of food therapy for hypertension control. This paper summarizes basic concepts of TCM, the principles of food therapy and its application for hypertension control according to Chinese literature. In TCM, food is conceptualized according to both nutritional and functional aspects, and can be used to treat illnesses. Four principles of TCM food therapy including light eating, balancing the ""hot"" and ""cold"" nature of food, the harmony of the five flavors of food, and consistency between dietary intake and different health conditions, can be used to facilitate hypertension control. Based on a statistical analysis of antihypertensive foods recommended in 20 books on the application of food therapy for hypertension control, the 38 most frequently recommended are celery, tomato, banana, hawthorn, garlic, onion, seaweed, apple, corn, green beans, persimmon, laver, kiwi, watermelon, eggplant, carrots, mushroom, peanut, soy products, sea cucumber, buckwheat, garland chrysanthemum, spinach, honey, dairy products, vinegar, black fungus, jellyfish, green onion, shepherd's purse, soybean, potato, pear, winter melon, bitter melon, oat, pea, and tea. Food therapy emphasizes the therapeutic effects of food, considering its nature, taste, and function on human balanced health, which leads to optimal blood pressure control. Current literature suggests that food therapy is effective in blood pressure control and can be incorporated into blood pressure self-management in the Chinese population.",Zou Ping,Am J Chin Med,2016,en,hypertension_tcm.csv
PMID38212019,38212019,[Review and prospect of traditional Chinese medicine in treatment of hypertension].,"Hypertension, a primary cause of cardiovascular and cerebrovascular events, has become a major global public health problem and caused a heavy burden of health economics on the society. In &quot;the 20 Most Important and Most Preventable Health Problems&quot; released by the Chinese Academy of Engineering, hypertension was ranked the second. Due to the disease complexity, many hypertension patients need to take antihypertensive drugs for life. Although significant progress has been achieved in blood pressure lowering by western medicines, the problems including adverse reactions, poor compliance due to long-term medication, and ineffective mitigation in clinical symptoms related to hypertension remain to be addressed. In the last decade, the research on traditional Chinese medicine(TCM) treatment of hypertension has received much attention and achieved remarkable progress. The TCM treatment of hypertension is the most active area of research with integrated Chinese and western medicine in China. In addition to lowering blood pressure smoothly, TCM can alleviate clinical symptoms, reverse risk factors, improve the quality of life, and protect target organs from the damage caused by hypertension. This article systematically reviews the research progress of TCM in treating hypertension in the last decade from the following four aspects: consensus on guideline, clinical trial, experimental study, and systematic review/Meta-analysis. It summarized the evidence of TCM in reducing blood pressure and clarified the mechanism of TCM in reducing blood pressure, aiming to provide a reference for the TCM diagnosis and treatment of hypertension and the development of new drugs.",Xiong Xing-Jiang; Wang Peng-Qian; Yao Kui-Wu; Hou Jing-le,Zhongguo Zhong Yao Za Zhi,2023,zh,hypertension_tcm.csv
